parameter,sensitivity,mean,q5,q95
mu,0,18.6541826,16.957925000000003,20.430015
mu,1,17.5419641,16.630415,18.464485
mu,2,17.9943627,17.169469999999997,18.887114999999998
mu,3,18.5875299,17.77386,19.38158
mu,4,18.6360194,17.923255,19.367155
mu,5,18.0493102,17.433574999999998,18.67523
mu,6,18.3054356,17.676365,18.919165000000003
mu,7,18.3363055,17.77309,18.882895
mu,8,18.6302396,17.856185,19.427114999999997
mu,9,18.9007868,18.243380000000002,19.59623
mu,10,19.2740541,18.783450000000002,19.773120000000002
mu,11,18.8713402,18.25783,19.447705
mu,12,19.7842048,19.341945,20.23885
mu,13,19.1486826,18.71813,19.59329
mu,14,19.6612834,19.087035,20.223840000000003
mu,15,19.5988851,19.038365,20.179785
mu,16,19.5244771,18.820995,20.18676
mu,17,20.2833416,19.710265,20.859130000000004
mu,18,20.3491832,19.8556,20.86399
mu,19,20.6251694,20.156615000000002,21.093624999999996
mu,20,21.2396619,20.802075,21.691615000000002
mu,21,22.6360802,22.26338,22.989535
mu,22,23.2934494,22.93007,23.646485
mu,23,24.8298136,24.570589999999996,25.101955000000004
mu,24,26.0668843,25.774565,26.353540000000002
mu,25,26.8537847,26.712865,26.9922
mu,26,27.8796719,27.74649,28.015205
mu,27,29.1578552,29.042485,29.27573
mu,28,30.3113845,30.227095000000002,30.395915000000002
mu,29,31.3789206,31.322595,31.43591
mu,30,31.5036838,31.46868,31.541114999999998
mu,31,31.9633641,31.881689999999995,32.039245
mu,32,32.9620211,32.833594999999995,33.091710000000006
mu,33,34.1218659,33.891875000000006,34.337215
mu,34,34.5359411,34.068905,35.00203
mu,35,35.5854863,35.02631,36.107295
sigma,0,0.52757829,0.35789380000000004,0.75813485
sigma,1,0.5324544,0.41036985000000004,0.6952271499999999
sigma,2,0.494460963,0.3875769,0.62929395
sigma,3,0.519587715,0.40060530000000005,0.6714063999999998
sigma,4,0.532998046,0.42361594999999996,0.6642949499999999
sigma,5,0.543251592,0.42455424999999997,0.6932650999999999
sigma,6,0.620627221,0.46655585,0.8201938
sigma,7,0.686020271,0.5270130500000001,0.88330765
sigma,8,0.908510795,0.6967006,1.1538459999999997
sigma,9,1.160462847,0.92515045,1.4426455
sigma,10,1.340571951,1.1068594999999999,1.609552
sigma,11,1.57109747,1.2894910000000002,1.873903
sigma,12,1.69189687,1.364317,2.0592619999999995
sigma,13,1.85252444,1.4970219999999999,2.2648315
sigma,14,2.79343281,2.1510595,3.5437384999999995
sigma,15,3.49228696,2.8247245,4.2747744999999995
sigma,16,4.74658504,3.839037,5.736028999999999
sigma,17,5.3726480500000005,4.488692499999999,6.3341080000000005
